분류,경로,이름,Q1,Q2,상태,비고,PR,완료일
09-national,09-national/other/SP-NAT-OTHER-ITKC_v1.1.md,SP-NAT-OTHER-ITKC_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-IBK_v1.1.md,SP-NAT-OTHER-IBK_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KIRIA_v1.1.md,SP-NAT-OTHER-KIRIA_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KRC_v1.1.md,SP-NAT-OTHER-KRC_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-SNUH_v1.1.md,SP-NAT-OTHER-SNUH_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-POLYTECH_v1.1.md,SP-NAT-OTHER-POLYTECH_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KSPO2_v1.1.md,SP-NAT-OTHER-KSPO2_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KWHRI_v1.1.md,SP-NAT-OTHER-KWHRI_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KIPS_v1.1.md,SP-NAT-OTHER-KIPS_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KFCI_v1.1.md,SP-NAT-OTHER-KFCI_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KICT2_v1.1.md,SP-NAT-OTHER-KICT2_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-TIPA_v1.1.md,SP-NAT-OTHER-TIPA_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KWWA_v1.1.md,SP-NAT-OTHER-KWWA_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KIEP_v1.1.md,SP-NAT-OTHER-KIEP_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KHEPI_v1.1.md,SP-NAT-OTHER-KHEPI_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KINGS_v1.1.md,SP-NAT-OTHER-KINGS_v1.1,Y,N,미착수,,,
